date,category,region,product,value,value_b,units,cost,revenue,profit
2024-01-01,C,EMEA,P01,36.31,15.96,12,32.56,50.69,18.13
2024-01-01,C,AMER,P03,25.18,23.1,16,27.04,66.28,39.24
2024-01-01,B,,P05,38.08,10.28,17,38.6,67.48,28.88
2024-01-01,C,EMEA,P05,21.71,23.8,14,32.53,46.5,13.97
2024-01-01,C,EMEA,P02,16.85,6.51,11,23.29,32.04,8.75
2024-01-01,C,EMEA,P02,82.44,20.27,7,58.81,90.74,31.93
2024-01-01,A,AMER,P02,40.91,2.61,13,26.1,49.97,23.87
2024-01-01,D,EMEA,P10,32.29,,14,24.7,37.43,12.73
2024-01-01,A,AMER,P02,36.61,7.54,18,33.75,57.38,23.63
2024-01-01,E,EMEA,P04,31.35,38.47,18,35.23,49.85,14.62
2024-01-01,E,,P03,18.28,15.61,12,18.47,33.73,15.26
2024-01-01,B,EMEA,P03,23.41,24.15,10,19.59,37.87,18.28
2024-01-01,D,APAC,P05,33.12,23.91,11,18.52,49.43,30.91
2024-01-01,A,AMER,P04,24.3,18.93,16,25.04,54.62,29.58
2024-01-01,C,AMER,P03,6.91,18.5,16,16.88,33.68,16.8
2024-01-01,E,APAC,P05,46.92,,7,24.94,58.29,33.35
2024-01-01,D,AMER,P06,29.13,13.46,10,23.6,46.7,23.1
2024-01-01,A,APAC,P04,27.06,5.72,11,27.51,57.49,29.98
2024-01-01,C,EMEA,P01,45.78,39.85,13,29.74,69.84,40.1
2024-01-02,D,EMEA,P10,25.56,22.63,18,17.75,47.01,29.26
2024-01-02,B,APAC,P04,39.45,30.38,10,38.44,53.12,14.68
2024-01-02,C,EMEA,P02,34.43,20.42,16,22.41,60.52,38.11
2024-01-02,D,APAC,P04,44.48,25.58,6,34.35,52.15,17.8
2024-01-02,E,AMER,P01,52.27,36.02,10,36.44,86.49,50.05
2024-01-02,B,APAC,P07,39.05,26.71,13,25.92,67.64,41.72
2024-01-02,C,AMER,P05,42.92,28.18,16,29.8,56.64,26.84
2024-01-02,D,APAC,P08,62.3,9.95,10,48.31,84.3,35.99
2024-01-02,D,APAC,P04,36.09,9.28,9,25.09,45.5,20.41
2024-01-02,A,EMEA,P07,19.43,13.17,13,21.76,43.34,21.58
2024-01-02,C,EMEA,P09,16.52,5.42,6,12.39,25.81,13.42
2024-01-02,C,APAC,P01,28.91,14.12,14,25.13,47.93,22.8
2024-01-03,A,EMEA,P04,40.98,19.57,11,28.0,60.03,32.03
2024-01-03,C,APAC,P01,29.93,10.77,13,27.52,43.3,15.78
2024-01-03,B,EMEA,P05,36.55,4.65,11,29.17,46.1,16.93
2024-01-03,E,APAC,P06,25.88,11.2,11,19.72,44.58,24.86
2024-01-03,D,APAC,P02,33.53,18.62,5,21.48,30.58,9.1
2024-01-03,A,EMEA,P08,21.53,77.24,14,13.02,30.29,17.27
2024-01-03,B,APAC,P09,57.28,13.36,14,39.1,60.52,21.42
2024-01-03,B,APAC,P10,41.56,12.3,14,31.08,81.84,50.76
2024-01-03,B,AMER,P06,28.2,6.79,13,30.58,55.71,25.13
2024-01-03,B,APAC,P06,6.4,13.01,5,5.98,9.77,3.79
2024-01-03,B,EMEA,P07,50.82,23.33,10,29.73,66.76,37.03
2024-01-03,E,EMEA,P06,134.49,23.34,13,82.64,133.82,51.18
2024-01-04,D,AMER,P05,29.33,23.16,12,18.76,50.47,31.71
2024-01-04,B,AMER,P07,40.29,15.25,18,32.02,64.64,32.62
2024-01-04,D,EMEA,P02,32.23,18.19,17,39.11,54.11,15.0
2024-01-04,B,APAC,P09,81.99,9.51,18,41.82,121.13,79.31
2024-01-04,C,AMER,P09,14.26,25.51,18,12.91,26.17,13.26
2024-01-04,B,EMEA,P09,59.68,7.49,12,29.86,71.54,41.68
2024-01-04,E,EMEA,P10,41.46,9.9,8,20.97,54.46,33.49
2024-01-04,C,,P09,101.64,33.02,14,52.78,151.43,98.65
2024-01-04,C,EMEA,P10,43.91,21.82,5,35.65,63.74,28.09
2024-01-05,E,AMER,P04,74.05,,16,38.73,88.94,50.21
2024-01-05,B,APAC,P07,28.23,,12,22.02,50.86,28.84
2024-01-05,A,APAC,P01,38.83,8.06,16,24.28,49.93,25.65
2024-01-05,A,EMEA,P03,67.85,52.25,13,52.05,90.87,38.82
2024-01-05,E,APAC,P08,15.3,25.59,14,20.24,32.92,12.68
2024-01-05,A,EMEA,P02,30.9,19.14,13,23.91,56.57,32.66
2024-01-05,E,APAC,P07,17.13,4.15,8,13.06,20.16,7.1
2024-01-05,E,EMEA,P07,48.47,16.14,11,35.72,71.0,35.28
2024-01-05,C,APAC,P08,23.52,14.34,9,16.06,38.3,22.24
2024-01-05,D,APAC,P10,21.51,24.51,6,16.94,37.15,20.21
2024-01-06,A,EMEA,P06,46.36,25.01,11,28.96,62.93,33.97
2024-01-06,C,AMER,P09,78.73,18.18,14,68.59,100.27,31.68
2024-01-06,D,APAC,P05,17.4,22.33,13,22.44,36.8,14.36
2024-01-06,C,EMEA,P02,88.84,8.78,9,59.17,128.03,68.86
2024-01-06,C,AMER,P08,32.73,21.38,11,22.17,51.38,29.21
2024-01-06,A,EMEA,P08,40.72,13.38,15,25.16,49.98,24.82
